institution_name,OPEID,conference,short_name
Lamar University,358100,Southland,Lamar
McNeese State University,201700,Southland,McNeese
Nicholls State University,200500,Southland,Nicholls
Texas A & M University-Commerce,356500,Southland,East Texas A&M
Texas A & M University-Corpus Christi,1116100,Southland,Texas A&M-Corpus Christi
University of New Orleans,201500,Southland,New Orleans
University of the Incarnate Word,357800,Southland,UIW
North Dakota State University-Main Campus,299700,Summit League,North Dakota State
Oral Roberts University,398500,Summit League,Oral Roberts
South Dakota State University,347100,Summit League,South Dakota State
University of Denver,137100,Summit League,Denver
University of Missouri-Kansas City,251800,Summit League,Kansas City
University of Nebraska at Omaha,255400,Summit League,Omaha
University of North Dakota,300500,Summit League,North Dakota
University of South Dakota,347400,Summit League,South Dakota
Appalachian State University,290600,Sun Belt,App State
Arkansas State University,109000,Sun Belt,Arkansas State
Coastal Carolina University,345100,Sun Belt,Coastal Carolina
Georgia Southern University,157200,Sun Belt,Georgia Southern
Georgia State University,157400,Sun Belt,Georgia State
James Madison University,372100,Sun Belt,James Madison
Marshall University,381500,Sun Belt,Marshall
Northwestern State University of Louisiana,202100,Southland,Northwestern State
Old Dominion University,372800,Sun Belt,Old Dominion
Southeastern Louisiana University,202400,Southland,Southeastern Louisiana
Texas State University,361500,Sun Belt,Texas State
Troy University,104700,Sun Belt,Troy
University of Louisiana at Lafayette,203100,Sun Belt,Louisiana
University of Louisiana at Monroe,202000,Sun Belt,UL Monroe
University of South Alabama,105700,Sun Belt,South Alabama
University of Southern Mississippi,244100,Sun Belt,Southern Miss
Alabama A & M University,100200,SWAC,Alabama A&M
Alcorn State University,239600,SWAC,Alcorn State
Bethune-Cookman University,146700,SWAC,Bethune-Cookman
California State University-Sacramento,115000,Big Sky,Sacramento State
Florida Agricultural and Mechanical University,148000,SWAC,Florida A&M
Grambling State University,200600,SWAC,Grambling State
Jackson State University,241000,SWAC,Jackson State
Mississippi Valley State University,242400,SWAC,Mississippi Valley State
Prairie View A & M University,363000,SWAC,Prairie View A&M
Southern University and A & M College,202500,SWAC,Southern
Southern Utah University,367800,WAC,Southern Utah
Stephen F Austin State University,362400,Southland,Stephen F. Austin
