logo_filename,school,conference,conference_short,official_name,city,state,best_match_name,score,OPEID
290.png,Georgia Southern,Sun Belt,SBC,Georgia Southern University,Statesboro,GA,Georgia Southern University,100,157200
2247.png,Georgia State,Sun Belt,SBC,Georgia State University,Atlanta,GA,Georgia State University,100,157400
256.png,James Madison,Sun Belt,SBC,James Madison University,Harrisonburg,VA,James Madison University,100,372100
309.png,Louisiana,Sun Belt,SBC,University of Louisiana at Lafayette,Lafayette,LA,University of Louisiana at Lafayette,100,203100
276.png,Marshall,Sun Belt,SBC,Marshall University,Huntington,WV,Marshall University,100,381500
295.png,Old Dominion,Sun Belt,SBC,Old Dominion University,Norfolk,VA,Old Dominion University,100,372800
6.png,South Alabama,Sun Belt,SBC,University of South Alabama,Mobile,AL,University of South Alabama,100,105700
2572.png,Southern Miss,Sun Belt,SBC,University of Southern Mississippi,Hattiesburg,MS,University of Southern Mississippi,100,244100
326.png,Texas State,Sun Belt,SBC,Texas State University,San Marcos,TX,Texas State University,100,361500
2653.png,Troy,Sun Belt,SBC,Troy University,Troy,AL,Troy University,100,104700
2433.png,UL Monroe,Sun Belt,SBC,University of Louisiana at Monroe,Monroe,LA,University of Louisiana at Monroe,100,202000
